epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.594,1.37123,1.9925,1.41676,0.57929,0.53032,0.52883,0.26768,1.59726,2.28611,1.83422,0.00066092,0.00066092,0.00066092
2,404.696,1.53408,1.77237,1.5401,0.66796,0.43742,0.50713,0.26972,1.76757,2.27888,1.82598,0.00131444,0.00131444,0.00131444
3,602.873,1.59475,1.65343,1.5946,0.61004,0.40774,0.44654,0.23947,1.77966,2.3649,1.88929,0.00195477,0.00195477,0.00195477
4,798.694,1.59034,1.54664,1.58693,0.58997,0.48,0.51054,0.26237,1.75013,1.92504,1.80312,0.0019406,0.0019406,0.0019406
5,998.354,1.49465,1.43977,1.52427,0.53049,0.43591,0.43516,0.22485,1.93986,2.17795,1.94198,0.0019208,0.0019208,0.0019208
6,1198.62,1.48438,1.38674,1.50431,0.69436,0.62323,0.65795,0.37989,1.44207,1.51747,1.5724,0.001901,0.001901,0.001901
7,1401.32,1.45614,1.3328,1.5019,0.74916,0.65898,0.72641,0.44162,1.39919,1.25087,1.47955,0.0018812,0.0018812,0.0018812
8,1599.62,1.41156,1.30657,1.45544,0.75321,0.68774,0.73994,0.41289,1.43759,1.29423,1.51745,0.0018614,0.0018614,0.0018614
9,1780.33,1.42026,1.24846,1.45728,0.61469,0.44668,0.51243,0.27353,1.73923,1.87828,1.81218,0.0018416,0.0018416,0.0018416
10,1961.8,1.37827,1.2149,1.44155,0.77147,0.60546,0.6865,0.41177,1.49371,1.37578,1.59984,0.0018218,0.0018218,0.0018218
11,2153.93,1.31406,1.13808,1.40042,0.80971,0.70323,0.79893,0.48353,1.3572,1.04626,1.44355,0.001802,0.001802,0.001802
12,2343.76,1.34235,1.14219,1.39882,0.67045,0.50928,0.58069,0.3223,1.66632,1.64339,1.74335,0.0017822,0.0017822,0.0017822
13,2540.81,1.31639,1.10457,1.4003,0.8458,0.70065,0.79206,0.4895,1.33251,1.06228,1.43682,0.0017624,0.0017624,0.0017624
14,2741.33,1.32,1.10325,1.40865,0.76776,0.72516,0.78604,0.48588,1.30394,1.03992,1.40994,0.0017426,0.0017426,0.0017426
15,2937.4,1.30168,1.09232,1.38833,0.84057,0.76,0.83516,0.51064,1.32124,0.96142,1.40652,0.0017228,0.0017228,0.0017228
16,3135.06,1.27228,1.05714,1.36562,0.84781,0.74065,0.82867,0.52254,1.28393,0.96245,1.37986,0.001703,0.001703,0.001703
17,3338.53,1.28644,1.06236,1.36292,0.83752,0.75159,0.8342,0.5207,1.26576,0.95946,1.37543,0.0016832,0.0016832,0.0016832
18,3533.42,1.24864,1.02025,1.36775,0.80705,0.60258,0.72648,0.42789,1.40773,1.18802,1.4827,0.0016634,0.0016634,0.0016634
19,3731.84,1.24569,1.02282,1.34579,0.77897,0.65161,0.73761,0.43022,1.41264,1.17416,1.52039,0.0016436,0.0016436,0.0016436
20,3936.22,1.21663,0.98951,1.32893,0.86412,0.77548,0.86103,0.53114,1.22272,0.90857,1.33809,0.0016238,0.0016238,0.0016238
21,4140.68,1.24039,0.99084,1.35059,0.8494,0.77143,0.83649,0.52916,1.21803,0.89003,1.35684,0.001604,0.001604,0.001604
22,4351.76,1.18901,0.95626,1.31202,0.85283,0.74323,0.83086,0.50609,1.32804,0.92616,1.40852,0.0015842,0.0015842,0.0015842
23,4566.29,1.20238,0.95156,1.33146,0.88756,0.77161,0.86251,0.54653,1.2076,0.84993,1.3323,0.0015644,0.0015644,0.0015644
24,4769.72,1.20005,0.94414,1.32155,0.89562,0.78605,0.86075,0.55076,1.18996,0.8582,1.32094,0.0015446,0.0015446,0.0015446
25,4975.42,1.18646,0.92766,1.29797,0.92381,0.77677,0.87569,0.58703,1.15588,0.80543,1.30182,0.0015248,0.0015248,0.0015248
26,5182.28,1.17837,0.91412,1.30782,0.90413,0.7871,0.87962,0.56503,1.15964,0.7891,1.30807,0.001505,0.001505,0.001505
27,5390.17,1.1571,0.90652,1.28749,0.88409,0.77935,0.86557,0.54548,1.18439,0.89829,1.29617,0.0014852,0.0014852,0.0014852
28,5592.6,1.16866,0.91203,1.30706,0.89032,0.82194,0.88276,0.57262,1.15838,0.85779,1.30484,0.0014654,0.0014654,0.0014654
29,5793.48,1.15006,0.88675,1.27512,0.87884,0.8143,0.88576,0.58793,1.13524,0.7847,1.2653,0.0014456,0.0014456,0.0014456
30,5989.5,1.15776,0.88289,1.28381,0.89034,0.82839,0.89671,0.58983,1.12315,0.74658,1.28321,0.0014258,0.0014258,0.0014258
